pair,entry_time,entry_price,stake,amount,score,cats,tag,triggered,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,version
BANANAS31_USDT,2026-07-01 00:15:00+00:00,0.008754,1.0,114.00502627370345,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.008838,0.9595613433858893,2026-07-01 12:15:00+00:00,0.008271,time_dud,-5.517477724468804,-0.057064427690198594,12.0,v1_base
SKR_USDT,2026-06-30 09:40:00+00:00,0.00862,1.0,115.77726218097449,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.009471,9.872389791183307,2026-07-01 12:55:00+00:00,0.008679,time_stale,0.6844547563805108,0.004830858468677368,27.25,v1_base
BIO_USDT,2026-06-30 17:40:00+00:00,0.02981,1.0,33.47869842334787,82.0,4,demon_strong,"A1,A2,A3,B1,B2,D2,",0.03118,4.595773230459576,2026-07-01 17:40:00+00:00,0.02981,time_stale,0.0,-0.0020000000000000018,24.0,v1_base
EPIC_USDT,2026-07-01 12:15:00+00:00,0.5206,1.0,1.9170188244333464,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.5267,1.17172493276988,2026-07-01 18:20:00+00:00,0.4732,time_sharp_drop,-9.104878985785621,-0.09286669227814048,6.083333333333333,v1_base
TAIKO_USDT,2026-06-02 03:00:00+00:00,0.1052,1.0,9.486692015209126,55.0,4,demon_watch,"A2,B1,C2,D1,D2,",0.1053,0.09505703422053505,2026-06-02 15:20:00+00:00,0.1017,time_dud,-3.3269961977186338,-0.035203422053232014,12.333333333333334,v2_loose
TAIKO_USDT,2026-06-02 16:05:00+00:00,0.1007,1.0,9.910625620655413,59.0,4,demon_watch,"A2,B2,C2,D1,D2,",0.1015,0.7944389275074568,2026-06-03 16:05:00+00:00,0.099,time_stale,-1.6881827209533198,-0.018848063555114147,24.0,v2_loose
NFP_USDT,2026-06-03 01:35:00+00:00,0.00945,1.0,105.60846560846561,55.0,4,demon_watch,"A2,B1,C2,D1,D2,",0.010278,8.761904761904768,2026-06-04 01:20:00+00:00,0.00912,time_dud,-3.4920634920634965,-0.0368507936507938,23.75,v2_loose
TAIKO_USDT,2026-06-04 01:35:00+00:00,0.09659,1.0,10.332332539600372,55.0,4,demon_watch,"A2,B2,D1,D2,",0.09691,0.3312972357386902,2026-06-04 21:35:00+00:00,0.0933,time_dud,-3.4061497049384006,-0.03599337405528524,20.0,v2_loose
NFP_USDT,2026-06-04 13:25:00+00:00,0.008375,1.0,119.16417910447761,55.0,4,demon_watch,"A2,B1,C2,D1,D2,",0.00843,0.6567164179104417,2026-06-05 01:25:00+00:00,0.008058,time_dud,-3.785074626865687,-0.039775044776119595,12.0,v2_loose
NFP_USDT,2026-06-05 04:50:00+00:00,0.008123,1.0,122.86101194140096,57.0,4,demon_watch,"B1,C2,D2,",0.01094,34.679305675243135,2026-06-05 16:30:00+00:00,0.00993,pullback,22.24547580943001,0.22000984857811146,11.666666666666666,v2_loose
