pair,entry_time,entry_price,stake,amount,score,rules_triggered,signal_tag,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
STG_USDT,2026-06-28 04:00:00+00:00,0.1816,1.0,5.495594713656387,100.0,6.0,moji_strong,0.1825,0.4955947136563789,2026-06-28 12:00:00+00:00,0.1689,dud_early,-6.99339207048459,-0.07179405286343621,8.0
KGEN_USDT,2026-06-27 08:00:00+00:00,0.18768,1.0,5.317561807331628,75.0,3.0,moji_strong,0.23094,23.049872122762142,2026-06-28 13:20:00+00:00,0.20733,pullback_exit,10.469948849104844,0.10249008951406635,29.333333333333332
SIREN_USDT,2026-06-28 10:00:00+00:00,0.10309,1.0,9.680861383257348,75.0,4.0,moji_strong,0.10347,0.3686099524687218,2026-06-28 15:25:00+00:00,0.09249,stoploss,-10.28227762149578,-0.10461713066252787,5.416666666666667
WAL_USDT,2026-06-28 08:00:00+00:00,0.03352,1.0,29.773269689737468,85.0,5.0,moji_strong,0.03399,1.4021479713603764,2026-06-28 16:10:00+00:00,0.0325,dud_early,-3.0429594272076375,-0.03236873508353222,8.166666666666666
ZORA_USDT,2026-06-28 06:00:00+00:00,0.007481,1.0,133.40462505012698,85.0,5.0,moji_strong,0.007817,4.491378158000261,2026-06-28 18:00:00+00:00,0.00745,stale_half_day,-0.41438310386311694,-0.006135543376553865,12.0
VVV_USDT,2026-06-28 12:00:00+00:00,13.7491,1.0,0.072586569302718,75.0,4.0,moji_strong,13.8275,0.570219141616544,2026-06-28 20:00:00+00:00,13.1111,dud_early,-4.640303728971349,-0.048310231215134114,8.0
HOOLI_USDT,2026-06-28 20:00:00+00:00,0.0001611,1.0,6194.909993792675,100.0,5.0,moji_strong,0.0001696,5.276225946617001,2026-06-28 21:25:00+00:00,0.0001442,stoploss,-10.49037864680323,-0.10669397889509624,1.4166666666666667
DN_USDT,2026-06-28 22:00:00+00:00,0.38185,1.0,2.6135917244991487,75.0,4.0,moji_strong,0.47019,23.134738771769012,2026-06-28 23:45:00+00:00,0.423,pullback_exit,10.776482912138265,0.10554929946313996,1.75
RIF_USDT,2026-06-28 16:00:00+00:00,0.07277,1.0,13.714442764875635,100.0,5.0,moji_strong,0.07277,0.0,2026-06-29 00:00:00+00:00,0.06914,dud_early,-4.988319362374616,-0.05178342723649865,8.0
DN_USDT,2026-06-29 00:00:00+00:00,0.42534,1.0,2.3463582075516056,75.0,5.0,moji_strong,0.4261,0.17868058494380565,2026-06-29 01:25:00+00:00,0.38236,stoploss,-10.104857290638082,-0.10284647576056805,1.4166666666666667
VELVET_USDT,2026-06-28 02:00:00+00:00,1.57212,1.0,0.6348115919904334,75.0,4.0,moji_strong,2.07214,31.805460142991638,2026-06-29 03:40:00+00:00,1.86251,pullback_exit,18.471236292394995,0.1823429381981021,25.666666666666668
VELVET_USDT,2026-06-29 04:00:00+00:00,1.9376,1.0,0.5150701899256812,75.0,5.0,moji_strong,1.9376,0.0,2026-06-29 04:45:00+00:00,1.39556,stoploss,-27.974814203137903,-0.2811886457473163,0.75
OPG_USDT,2026-06-28 18:00:00+00:00,0.13127,1.0,7.602651024605774,75.0,4.0,moji_strong,0.13367,1.828292831568533,2026-06-29 06:00:00+00:00,0.12821,stale_half_day,-2.331073360249872,-0.02526411213529367,12.0
OPN_USDT,2026-06-27 22:00:00+00:00,0.06205,1.0,16.083803384367446,85.0,4.0,moji_strong,0.06921,11.539081385979037,2026-06-29 06:30:00+00:00,0.06226,stale_dud,0.338436744560841,0.0013775987107171872,32.5
TA_USDT,2026-06-28 14:00:00+00:00,0.07422,1.0,13.446510374562113,75.0,3.0,moji_strong,0.07627,2.7620587442737947,2026-06-29 09:15:00+00:00,0.07343,stale_half_day,-1.0644031258420898,-0.012622743195904063,19.25
SQD_USDT,2026-06-29 02:00:00+00:00,0.03372,1.0,29.59667852906287,75.0,4.0,moji_strong,0.03484,3.321470937129309,2026-06-29 14:00:00+00:00,0.03343,stale_half_day,-0.8600237247924039,-0.0105830367734282,12.0
WARD_USDT,2026-06-29 08:00:00+00:00,0.006981,1.0,142.95946139521558,75.0,6.0,moji_strong,0.009769,39.93697178054719,2026-06-29 17:10:00+00:00,0.0087,pullback_exit,24.623979372582713,0.24374731413837547,9.166666666666666
ORDI_USDT,2026-06-29 14:00:00+00:00,3.53,1.0,0.28271954674220967,75.0,4.0,moji_strong,4.346,23.11614730878188,2026-06-29 20:00:00+00:00,3.869,pullback_exit,9.603399433427775,0.0938419263456094,6.0
TAG_USDT,2026-06-29 10:00:00+00:00,0.0010364,1.0,962.948668467773,100.0,5.0,moji_strong,0.0011023,6.3585488228483245,2026-06-29 20:05:00+00:00,0.0010044,dud_early,-3.0876109610189237,-0.03281435739096894,10.083333333333334
PIEVERSE_USDT,2026-06-29 12:00:00+00:00,0.7677,1.0,1.299986974078416,100.0,6.0,moji_strong,0.7845,2.188354826103937,2026-06-30 00:30:00+00:00,0.7618,stale_half_day,-0.7685293734531738,-0.00966992314706272,12.5
HNT_USDT,2026-06-29 16:00:00+00:00,0.2631,1.0,3.7932345115925505,75.0,4.0,moji_strong,0.2647,0.6081337894336718,2026-06-30 00:35:00+00:00,0.2547,dud_early,-3.192702394526803,-0.033863169897377476,8.583333333333334
UB_USDT,2026-06-29 06:00:00+00:00,0.09295,1.0,10.736955352339967,75.0,4.0,moji_strong,0.12477,34.23345884884346,2026-06-30 02:15:00+00:00,0.10982,pullback_exit,18.149542764927375,0.17913243679397528,20.25
VVV_USDT,2026-06-29 20:00:00+00:00,13.737,1.0,0.072650505932882,100.0,6.0,moji_strong,13.7828,0.3334061294314613,2026-06-30 04:00:00+00:00,12.9935,dud_early,-5.412389895901586,-0.056015651161097746,8.0
WARD_USDT,2026-06-29 22:00:00+00:00,0.009507,1.0,104.97528137162091,90.0,4.0,moji_strong,0.009507,0.0,2026-06-30 04:25:00+00:00,0.008515,stoploss,-10.434416745555906,-0.10613547912064791,6.416666666666667
ZRO_USDT,2026-06-29 18:00:00+00:00,0.8245,1.0,1.2104305639781685,100.0,6.0,moji_strong,0.828,0.4244996967859245,2026-06-30 06:00:00+00:00,0.8085,stale_half_day,-1.9405700424499714,-0.021366889023650693,12.0
MYX_USDT,2026-06-30 00:00:00+00:00,0.10234,1.0,9.751807699824116,75.0,5.0,moji_strong,0.10475,2.354895446550709,2026-06-30 08:00:00+00:00,0.09866,dud_early,-3.5958569474301374,-0.03788665233535282,8.0
HMSTR_USDT,2026-06-30 02:00:00+00:00,0.0001933,1.0,5162.959130884635,75.0,5.0,moji_strong,0.000195,0.8794619762027868,2026-06-30 10:00:00+00:00,0.0001841,dud_early,-4.759441282979828,-0.04949922400413864,8.0
PUMP_USDT,2026-06-27 20:00:00+00:00,0.0013684,1.0,729.3189125986553,90.0,5.0,moji_strong,0.0015276,11.634025138848287,2026-06-30 11:30:00+00:00,0.0014365,medium_2d,4.976615024846534,0.04766661794796856,63.5
XLM_USDT,2026-06-30 04:00:00+00:00,0.18309,1.0,5.450871156261948,85.0,4.0,moji_strong,0.18738,2.3431099459282256,2026-06-30 12:00:00+00:00,0.17654,dud_early,-3.5774755584685125,-0.03770320607351574,8.0
TRADOOR_USDT,2026-06-30 06:00:00+00:00,0.4348,1.0,2.295308187672493,100.0,5.0,moji_strong,0.4416,1.5639374425022934,2026-06-30 15:15:00+00:00,0.4213,dud_early,-3.104875804967804,-0.03298666053357868,9.25
WARD_USDT,2026-06-30 08:00:00+00:00,0.009447,1.0,105.64200275219646,75.0,5.0,moji_strong,0.009953,5.356197734730596,2026-06-30 16:00:00+00:00,0.008575,dud_early,-9.230443527045635,-0.09411982639991545,8.0
STBL_USDT,2026-06-30 10:00:00+00:00,0.02626,1.0,38.004569687738005,75.0,3.0,moji_strong,0.02626,0.0,2026-06-30 18:00:00+00:00,0.02519,dud_early,-4.074638233054068,-0.04266488956587966,8.0
SLX_USDT,2026-06-30 14:00:00+00:00,0.58052,1.0,1.7191483497553917,75.0,5.0,moji_strong,0.60434,4.103217804726788,2026-06-30 22:00:00+00:00,0.52921,dud_early,-8.838627437469867,-0.09020950182594933,8.0
USELESS_USDT,2026-06-30 16:00:00+00:00,0.08778,1.0,11.369332421964002,75.0,5.0,moji_strong,0.08865,0.9911141490088969,2026-06-30 23:00:00+00:00,0.07888,stoploss,-10.13898382319434,-0.1031870585554795,7.0
LAB_USDT,2026-06-30 20:00:00+00:00,13.663,1.0,0.07304398741125667,75.0,4.0,moji_strong,13.918,1.866354387762563,2026-07-01 03:55:00+00:00,12.271,stoploss,-10.188099246139204,-0.10367723047646926,7.916666666666667
XPIN_USDT,2026-06-30 18:00:00+00:00,0.0013902,1.0,717.8823190907783,75.0,5.0,moji_strong,0.0014424,3.7548554164868264,2026-07-01 06:00:00+00:00,0.0013818,stale_half_day,-0.6042296072507544,-0.008030211480362537,12.0
CYS_USDT,2026-06-30 22:00:00+00:00,0.3706,1.0,2.6929303831624396,75.0,5.0,moji_strong,0.3877,4.614139233675123,2026-07-01 09:45:00+00:00,0.3578,dud_early,-3.453858607663243,-0.03646950890447909,11.75
RIF_USDT,2026-06-30 12:00:00+00:00,0.08186,1.0,12.191546542878084,100.0,6.0,moji_strong,0.09834,20.131932567798675,2026-07-01 11:00:00+00:00,0.08844,pullback_exit,8.038113852919622,0.07822037625213785,23.0
XCN_USDT,2026-07-01 00:00:00+00:00,0.003894,1.0,256.29173086800205,100.0,6.0,moji_strong,0.00408,4.77657935285055,2026-07-01 12:00:00+00:00,0.003888,stale_half_day,-0.15408320493066074,-0.003537750385208094,12.0
STG_USDT,2026-07-01 04:00:00+00:00,0.1759,1.0,5.673678226264923,75.0,4.0,moji_strong,0.1779,1.13700966458215,2026-07-01 12:00:00+00:00,0.1702,dud_early,-3.2404775440591305,-0.03433996588971011,8.0
XLM_USDT,2026-07-01 02:00:00+00:00,0.20114,1.0,4.9617182062245195,75.0,6.0,moji_strong,0.20728,3.0526001789798043,2026-07-01 14:00:00+00:00,0.19813,stale_half_day,-1.4964701203142152,-0.01693477180073588,12.0
USELESS_USDT,2026-07-01 06:00:00+00:00,0.08206,1.0,12.161832805264442,75.0,5.0,moji_strong,0.08285,0.9627102120399695,2026-07-01 18:00:00+00:00,0.08015,stale_half_day,-2.3275651961978983,-0.02522910065805506,12.0
SKR_USDT,2026-07-01 10:00:00+00:00,0.009416,1.0,105.98980458793542,75.0,4.0,moji_strong,0.009422,0.06372132540355842,2026-07-01 18:00:00+00:00,0.008722,dud_early,-7.370433305012745,-0.07555692438402717,8.0
HOME_USDT,2026-07-01 12:00:00+00:00,0.01775,1.0,56.22535211267606,75.0,4.0,moji_strong,0.01784,0.5070422535211452,2026-07-01 20:00:00+00:00,0.01647,dud_early,-7.211267605633803,-0.07396845070422531,8.0
VVV_USDT,2026-07-01 16:00:00+00:00,14.3553,1.0,0.06952136144838492,100.0,6.0,moji_strong,14.7494,2.7453275097002496,2026-07-02 00:00:00+00:00,13.258,dud_early,-7.643866725181645,-0.07828578991731283,8.0
