symbol,entry_time,entry_price,stake,amount,score,rules,tag,max_rate,peak_profit,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,peak_profit_pct
2Z_USDT,2026-06-25 00:20:00+00:00,0.06602,1.0,15.116631323841261,120.0,5,moji_strong,0.06685,0.012571947894577573,2026-06-25 12:20:00+00:00,0.0655,stale_half_day,-0.7876401090578503,-0.009860648288397389,12.0,1.2571947894577573
W_USDT,2026-06-25 05:40:00+00:00,0.010028,1.0,99.52134024730753,70.0,3,moji_medium,0.010028,0.0,2026-06-25 12:25:00+00:00,0.009525,dud_early,-5.015955325089748,-0.05205923414439573,6.75,0.0
OPEN_USDT,2026-06-25 00:35:00+00:00,0.18025,1.0,5.536754507628294,135.0,6,moji_strong,0.18717,0.038391123439667184,2026-06-25 12:35:00+00:00,0.17935,stale_half_day,-0.4993065187239857,-0.006983079056865349,12.0,3.8391123439667183
ICP_USDT,2026-06-25 00:00:00+00:00,2.212,1.0,0.45117540687160934,90.0,4,moji_strong,2.28,0.030741410488245757,2026-06-25 13:35:00+00:00,2.205,stale_half_day,-0.31645569620253694,-0.005158227848101271,13.583333333333334,3.0741410488245755
JUP_USDT,2026-06-25 06:05:00+00:00,0.23322,1.0,4.279221336077523,135.0,6,moji_strong,0.23486,0.007031986965097344,2026-06-25 13:35:00+00:00,0.21964,dud_early,-5.82282823085499,-0.06011182574393281,7.5,0.7031986965097343
ORDI_USDT,2026-06-24 23:45:00+00:00,3.139,1.0,0.3179356482956356,90.0,4,moji_strong,3.295,0.049697355845810816,2026-06-25 13:40:00+00:00,3.116,stale_half_day,-0.7327174259318155,-0.00931251991079951,13.916666666666666,4.969735584581081
GUSD_USDT,2026-06-24 18:05:00+00:00,0.9994,1.0,0.9985991594956974,75.0,3,moji_medium,0.9998,0.0004002401440865189,2026-06-25 13:50:00+00:00,0.999,stale_half_day,-0.04002401440864078,-0.0023994396637982973,19.75,0.040024014408651894
ETHFI_USDT,2026-06-25 05:25:00+00:00,0.3519,1.0,2.8360329639102018,100.0,4,moji_strong,0.3619,0.028417163967036117,2026-06-25 13:50:00+00:00,0.334,dud_early,-5.086672350099452,-0.05276499005399249,8.416666666666666,2.8417163967036116
LIGHT_USDT,2026-06-25 12:20:00+00:00,0.12595,1.0,7.923779277491067,80.0,3,moji_medium,0.12595,0.0,2026-06-25 13:50:00+00:00,0.11403,stoploss,-9.464073044859072,-0.09645144898769353,1.5,0.0
KAS_USDT,2026-06-25 06:50:00+00:00,0.02826,1.0,35.31493276716206,70.0,3,moji_medium,0.02832,0.002123142250530822,2026-06-25 13:55:00+00:00,0.02666,dud_early,-5.661712668082098,-0.05850389242745935,7.083333333333333,0.2123142250530822
